PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=3.49 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=0.535 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.293 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.293 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.241 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.300 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.227 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.321 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.375 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.284 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.319 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.361 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.279 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.608 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.354 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.348 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.260 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.340 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.227 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.308 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.271 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.270 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.263 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.266 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.278 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.267 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.268 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.170 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.180 ms
64 bytes from 192.168.10.100: icmp_seq=32 ttl=64 time=0.186 ms
64 bytes from 192.168.10.100: icmp_seq=33 ttl=64 time=0.186 ms
64 bytes from 192.168.10.100: icmp_seq=34 ttl=64 time=0.147 ms
64 bytes from 192.168.10.100: icmp_seq=35 ttl=64 time=0.143 ms
64 bytes from 192.168.10.100: icmp_seq=36 ttl=64 time=0.163 ms
64 bytes from 192.168.10.100: icmp_seq=37 ttl=64 time=0.243 ms
64 bytes from 192.168.10.100: icmp_seq=38 ttl=64 time=0.154 ms
64 bytes from 192.168.10.100: icmp_seq=39 ttl=64 time=0.159 ms
64 bytes from 192.168.10.100: icmp_seq=40 ttl=64 time=0.145 ms
64 bytes from 192.168.10.100: icmp_seq=41 ttl=64 time=0.191 ms
64 bytes from 192.168.10.100: icmp_seq=42 ttl=64 time=0.169 ms
64 bytes from 192.168.10.100: icmp_seq=43 ttl=64 time=0.215 ms
64 bytes from 192.168.10.100: icmp_seq=44 ttl=64 time=0.216 ms
64 bytes from 192.168.10.100: icmp_seq=45 ttl=64 time=0.222 ms
64 bytes from 192.168.10.100: icmp_seq=46 ttl=64 time=0.239 ms
64 bytes from 192.168.10.100: icmp_seq=47 ttl=64 time=0.266 ms
64 bytes from 192.168.10.100: icmp_seq=48 ttl=64 time=0.152 ms
64 bytes from 192.168.10.100: icmp_seq=49 ttl=64 time=0.192 ms
64 bytes from 192.168.10.100: icmp_seq=50 ttl=64 time=0.272 ms
64 bytes from 192.168.10.100: icmp_seq=51 ttl=64 time=0.213 ms
64 bytes from 192.168.10.100: icmp_seq=52 ttl=64 time=0.297 ms
64 bytes from 192.168.10.100: icmp_seq=53 ttl=64 time=0.281 ms
64 bytes from 192.168.10.100: icmp_seq=54 ttl=64 time=0.323 ms
64 bytes from 192.168.10.100: icmp_seq=55 ttl=64 time=0.316 ms
64 bytes from 192.168.10.100: icmp_seq=56 ttl=64 time=0.267 ms
64 bytes from 192.168.10.100: icmp_seq=57 ttl=64 time=0.331 ms
64 bytes from 192.168.10.100: icmp_seq=58 ttl=64 time=0.267 ms
64 bytes from 192.168.10.100: icmp_seq=59 ttl=64 time=0.169 ms
64 bytes from 192.168.10.100: icmp_seq=60 ttl=64 time=0.148 ms
64 bytes from 192.168.10.100: icmp_seq=61 ttl=64 time=0.298 ms
64 bytes from 192.168.10.100: icmp_seq=62 ttl=64 time=0.293 ms
64 bytes from 192.168.10.100: icmp_seq=63 ttl=64 time=0.345 ms
64 bytes from 192.168.10.100: icmp_seq=64 ttl=64 time=0.334 ms
64 bytes from 192.168.10.100: icmp_seq=65 ttl=64 time=0.275 ms
64 bytes from 192.168.10.100: icmp_seq=66 ttl=64 time=0.261 ms
64 bytes from 192.168.10.100: icmp_seq=67 ttl=64 time=0.273 ms
64 bytes from 192.168.10.100: icmp_seq=68 ttl=64 time=0.290 ms
64 bytes from 192.168.10.100: icmp_seq=69 ttl=64 time=0.321 ms
64 bytes from 192.168.10.100: icmp_seq=70 ttl=64 time=0.287 ms
64 bytes from 192.168.10.100: icmp_seq=71 ttl=64 time=0.267 ms
64 bytes from 192.168.10.100: icmp_seq=72 ttl=64 time=0.282 ms
64 bytes from 192.168.10.100: icmp_seq=73 ttl=64 time=0.340 ms
64 bytes from 192.168.10.100: icmp_seq=74 ttl=64 time=0.281 ms
64 bytes from 192.168.10.100: icmp_seq=75 ttl=64 time=0.314 ms
64 bytes from 192.168.10.100: icmp_seq=76 ttl=64 time=0.270 ms
64 bytes from 192.168.10.100: icmp_seq=77 ttl=64 time=0.263 ms
64 bytes from 192.168.10.100: icmp_seq=78 ttl=64 time=0.275 ms
64 bytes from 192.168.10.100: icmp_seq=79 ttl=64 time=0.317 ms
64 bytes from 192.168.10.100: icmp_seq=80 ttl=64 time=0.228 ms
64 bytes from 192.168.10.100: icmp_seq=81 ttl=64 time=0.284 ms
64 bytes from 192.168.10.100: icmp_seq=82 ttl=64 time=0.300 ms
64 bytes from 192.168.10.100: icmp_seq=83 ttl=64 time=0.281 ms
64 bytes from 192.168.10.100: icmp_seq=84 ttl=64 time=0.302 ms
64 bytes from 192.168.10.100: icmp_seq=85 ttl=64 time=0.205 ms
64 bytes from 192.168.10.100: icmp_seq=86 ttl=64 time=0.218 ms
64 bytes from 192.168.10.100: icmp_seq=87 ttl=64 time=0.258 ms
64 bytes from 192.168.10.100: icmp_seq=101 ttl=64 time=3.75 ms
64 bytes from 192.168.10.100: icmp_seq=102 ttl=64 time=1.10 ms
64 bytes from 192.168.10.100: icmp_seq=103 ttl=64 time=0.315 ms
64 bytes from 192.168.10.100: icmp_seq=104 ttl=64 time=0.261 ms
64 bytes from 192.168.10.100: icmp_seq=105 ttl=64 time=0.264 ms
